id,name,is_claimed,is_closed,phone,review_count,categories01,categories02,categories03,rating,price,transactions,zip_code,city,address,restaurant_url,image_url,latitude,longitude,photos,cross_streets,category,score
eosB4QLkX-dTj0hPHXfPQg,Taco Bell,True,False,16617264943.0,28,hotdogs,mexican,,2.0,$,['delivery'],93534,Lancaster,"['1004 West Avenue I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/taco-bell-lancaster-14?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/bKMvV8qfo1jG717nT5bgLg/o.jpg,34.703863,-118.148137,"['https://s3-media2.fl.yelpcdn.com/bphoto/bKMvV8qfo1jG717nT5bgLg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/ajpATF_TX8lDhcUzU4xGrA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/arbvn0OzjqLUkwDboOY5wA/o.jpg']",,"hotdogs, mexican, ",0.0
cnZwGayjGJBOTaegiT0eeg,Frosty King,True,False,16619458080.0,63,burgers,icecream,hotdogs,3.5,$,['pickup'],93534,Lancaster,"['810 W Ave I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/frosty-king-lancaster-3?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/ju8MApBEHSeh3wqPgZoQsw/o.jpg,34.70364,-118.14614,"['https://s3-media2.fl.yelpcdn.com/bphoto/ju8MApBEHSeh3wqPgZoQsw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/7ayGFOduthAuarYUH3BDgA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/4uZTWqCBNyDOjhauzz04Jw/o.jpg']",,"burgers, icecream, hotdogs",0.0
ezBo_-2WvtAVcB26MxF5Wg,Wendy's,True,False,16617239441.0,47,hotdogs,burgers,,2.0,$,['delivery'],93536,Lancaster,"['2048 W Avenue I', 'Lancaster, CA 93536']",https://www.yelp.com/biz/wendys-lancaster-13?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/vvYFpvyXFAR4v4o-k_yxbQ/o.jpg,34.7036362518684,-118.16777323279,"['https://s3-media2.fl.yelpcdn.com/bphoto/vvYFpvyXFAR4v4o-k_yxbQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/sRMIoLPXqqOZOsXeG1VuVg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/KZgejUOHaYBWV0jYpudfRQ/o.jpg']",,"hotdogs, burgers, ",0.0
_v-i1YheCnbqQSYqx19jBg,Mom's Tamal,True,False,16619127668.0,1,streetvendors,tacos,,5.0,-,[],93535,Lancaster,"['1254 E Avenue I', 'Lancaster, CA 93535']",https://www.yelp.com/biz/moms-tamal-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media4.fl.yelpcdn.com/bphoto/tFkiQSx5oPPIfTzBIYxJeQ/o.jpg,34.7035854983486,-118.106644302607,"['https://s3-media4.fl.yelpcdn.com/bphoto/tFkiQSx5oPPIfTzBIYxJeQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Ob0CFbCfbpNaZQBo81ReJQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/2pP-6RsFeBx8KmBWwd9fag/o.jpg']",,"streetvendors, tacos, ",0.0
cfNdwvjUH0gCX7MyOJEH2A,KFC,True,False,16619405098.0,31,hotdogs,chicken_wings,chickenshop,1.5,$,"['pickup', 'delivery']",93534,Lancaster,"['866 W Avenue I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/kfc-lancaster-3?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media4.fl.yelpcdn.com/bphoto/MzJ9v1JZSS_SH-zuligriA/o.jpg,34.7035852525295,-118.147737774928,"['https://s3-media4.fl.yelpcdn.com/bphoto/MzJ9v1JZSS_SH-zuligriA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/dusJ9O4VuZ62fJjjgixhfQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/_s-ta7vipQJO7mjC-SEU1g/o.jpg']",,"hotdogs, chicken_wings, chickenshop",0.0
K3iggI6cudkQLa4zrcha8w,Del Taco,True,False,16619420312.0,29,hotdogs,mexican,,2.5,$,"['pickup', 'delivery']",93534,Lancaster,"['1138 W Avenue I', 'Lancaster, CA 93534']",https://www.yelp.com/biz/del-taco-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/LhiPSJD_jQRT1W6tLLSDaA/o.jpg,34.70356,-118.15095,"['https://s3-media3.fl.yelpcdn.com/bphoto/LhiPSJD_jQRT1W6tLLSDaA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/inXYcAIZTtF363L-EiNTpw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/U06JKaoh7mZWJApiCaWnKQ/o.jpg']",,"hotdogs, mexican, ",0.0
hIDghMGasptLbvA48h3YGA,Burger King,True,False,16619484417.0,31,burgers,hotdogs,,1.5,$,['delivery'],93534,Lancaster,"['1202 West Ave', 'Lancaster, CA 93534']",https://www.yelp.com/biz/burger-king-lancaster-9?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/3hs1ELTqn7t6FVSC1CHDVA/o.jpg,34.7035142,-118.1517842791332,"['https://s3-media2.fl.yelpcdn.com/bphoto/3hs1ELTqn7t6FVSC1CHDVA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/7aYsEKBRtdu1q8tfVfU-CQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_fWnYQE3AR9Ob1G9sul5Kw/o.jpg']",,"burgers, hotdogs, ",0.0
sh25ekwSqnP0FTCHGjaIpQ,Gino's Italian Restaurant - Lancaster West,True,False,16619421300.0,214,pizza,italian,wine_bars,3.5,$$,"['delivery', 'pickup']",93536,Lancaster,"['44960 Valley Central Way', 'Lancaster, CA 93536']",https://www.yelp.com/biz/ginos-italian-restaurant-lancaster-west-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media1.fl.yelpcdn.com/bphoto/7PVM3863psnCJx331haSwg/o.jpg,34.69894,-118.17419,"['https://s3-media1.fl.yelpcdn.com/bphoto/7PVM3863psnCJx331haSwg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/NUsWo1I8z4lyMupL-1LCAg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/-4XBmBGcN8rYT65q37PWKQ/o.jpg']",,"pizza, italian, wine_bars",0.0
PsBBWQ1NZ0j4cMsFgGMAFw,Pizza Hut,True,False,16619498383.0,49,pizza,italian,chicken_wings,1.5,$,"['pickup', 'delivery']",93534,Lancaster,"['44836 10th St W', 'Lancaster, CA 93534']",https://www.yelp.com/biz/pizza-hut-lancaster-15?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/xyqREhfDl_Xr5HMLPVxDJg/o.jpg,34.698296,-118.147791,"['https://s3-media3.fl.yelpcdn.com/bphoto/xyqREhfDl_Xr5HMLPVxDJg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/QVFkebpkXo9eHQc6VRwqkw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/IYBuYM4idhFjNur35U0F4A/o.jpg']",,"pizza, italian, chicken_wings",0.0
JASn_1WwWI1GuYg4D3IxFA,Lucky Luke Brewpub,True,False,16615223775.0,147,breweries,burgers,gastropubs,4.5,$$,['delivery'],93534,Lancaster,"['735 W Lancaster Blvd', 'Lancaster, CA 93534']",https://www.yelp.com/biz/lucky-luke-brewpub-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/ff_Rd_mld_Ie2Oymv3F6-A/o.jpg,34.6979251744085,-118.143302723765,"['https://s3-media2.fl.yelpcdn.com/bphoto/ff_Rd_mld_Ie2Oymv3F6-A/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/1qQMfKzEG620oW2VMGguQw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/lyZyt2Bc4HW6HGaj7W6Tgg/o.jpg']",,"breweries, burgers, gastropubs",0.0
EI35VD4zEa8a0xCrTZsMXQ,Sassy Bird,True,False,16614834206.0,302,chickenshop,newamerican,sandwiches,4.0,$$,"['delivery', 'pickup']",93534,Lancaster,"['706 W Lancaster Blvd', 'Ste 101', 'Lancaster, CA 93534']",https://www.yelp.com/biz/sassy-bird-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/R4LgXlRGio_uoBFY6mWDeQ/o.jpg,34.69762,-118.14247,"['https://s3-media3.fl.yelpcdn.com/bphoto/R4LgXlRGio_uoBFY6mWDeQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/zRHPJDmSIeCgo12nyvMFsA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/BUd3KEtRIkZEsL51nN0epg/o.jpg']",,"chickenshop, newamerican, sandwiches",3.66
PodHLLzP0i4LU5zknOEFNw,The Elm Cuisine,True,False,16619414069.0,33,burgers,southern,waffles,3.5,$$,"['delivery', 'pickup']",93534,Lancaster,"['44844 Elm Ave', 'Lancaster, CA 93534']",https://www.yelp.com/biz/the-elm-cuisine-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/Cq4pfiwQiXR-AdQKu2EDKQ/o.jpg,34.69729,-118.14156,"['https://s3-media3.fl.yelpcdn.com/bphoto/Cq4pfiwQiXR-AdQKu2EDKQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/RKbKkifx0shi4u1W8ljopQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/L3oQOF3j590kJly0MGvWZw/o.jpg']",,"burgers, southern, waffles",0.0
sQ7XDGPCMGAf8sndZctDcw,McDonald's,True,False,16619491258.0,53,burgers,hotdogs,coffee,1.0,$,['delivery'],93536,Lancaster,"['2301 W  Lancaster Blvd', 'Lancaster, CA 93536']",https://www.yelp.com/biz/mcdonalds-lancaster-21?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media3.fl.yelpcdn.com/bphoto/XJToZxV-mDGP6yyUBaFKJQ/o.jpg,34.69712,-118.17263,"['https://s3-media3.fl.yelpcdn.com/bphoto/XJToZxV-mDGP6yyUBaFKJQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/2-_YXfH-tCflwVwL02gdZg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Pf0Co9XRPzHbwrC1gBSV0w/o.jpg']",,"burgers, hotdogs, coffee",0.0
xn1jcVNAZr8xDjwkwunTXQ,Delicious Burgers,False,False,16619423171.0,14,burgers,,,4.0,$,['delivery'],93534,Lancaster,"['44652 Sierra Hwy', 'Lancaster, CA 93534']",https://www.yelp.com/biz/delicious-burgers-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/ZRBhBgiH2R8L2psbLrlpiQ/o.jpg,34.69435,-118.13593,"['https://s3-media2.fl.yelpcdn.com/bphoto/ZRBhBgiH2R8L2psbLrlpiQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/uQFmAvjyH_O5CMqm7_9H_A/o.jpg']",,"burgers, , ",0.0
gWswJygnY9NKqn7y16H3vg,McDonald's,True,False,16617264800.0,7,hotdogs,burgers,coffee,1.5,$,['delivery'],93535,Lancaster,"['1731 E Ave J', 'Lancaster, CA 93535']",https://www.yelp.com/biz/mcdonalds-lancaster-47?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media1.fl.yelpcdn.com/bphoto/LBBAsMc6urKUEk58vgSPyA/o.jpg,34.6924450144709,-118.096997737884,"['https://s3-media1.fl.yelpcdn.com/bphoto/LBBAsMc6urKUEk58vgSPyA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/xRWxs7AxJXHFsjLsAa9LsA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/i17NZy5OTRaMSYoennJaQA/o.jpg']",,"hotdogs, burgers, coffee",0.0
ebtD--NZZLpShay_Gjo4rA,Jersey Mike's Subs,True,False,16614718781.0,32,hotdogs,sandwiches,delis,3.5,-,"['pickup', 'delivery']",93536,Lancaster,"['44418 Valley Central Way', 'Ste A', 'Lancaster, CA 93536']",https://www.yelp.com/biz/jersey-mikes-subs-lancaster-4?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media2.fl.yelpcdn.com/bphoto/JZCGHD-SluBXhTjzKa5JzA/o.jpg,34.6907548,-118.17128,"['https://s3-media2.fl.yelpcdn.com/bphoto/JZCGHD-SluBXhTjzKa5JzA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/UBFefDpGl44f0n7NuE9ggQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Nqh8PXP7Z6ZxY-dMxM7TMQ/o.jpg']",,"hotdogs, sandwiches, delis",0.0
vSluRxUHNAqmals_qE_PsA,The White House,False,False,16619429384.0,37,burgers,hotdogs,,4.0,$,['delivery'],93535,Lancaster,"['44431 Division St', 'Lancaster, CA 93535']",https://www.yelp.com/biz/the-white-house-lancaster?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media1.fl.yelpcdn.com/bphoto/9Fvt-7blrIWu48rzBhO34w/o.jpg,34.6904144287109,-118.130699157715,"['https://s3-media1.fl.yelpcdn.com/bphoto/9Fvt-7blrIWu48rzBhO34w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_fFPy1np6J6S1aM3mnYX6w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/qMnLEHnTo7EkkfP9zvaG4g/o.jpg']",,"burgers, hotdogs, ",0.0
cDdR5x2Aj5JiDYZQko0G7g,Wingstop,True,False,16619409464.0,91,chicken_wings,,,2.5,$,[],93536,Lancaster,"['44433 Valley Central Way', 'Lancaster, CA 93536']",https://www.yelp.com/biz/wingstop-lancaster-3?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media4.fl.yelpcdn.com/bphoto/jYL40ydEmlgdZnGv1sVzVA/o.jpg,34.6903274713045,-118.17233155483,"['https://s3-media4.fl.yelpcdn.com/bphoto/jYL40ydEmlgdZnGv1sVzVA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/fMCBV4xEE4i0oWixfKtJMg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/40TxZDMQEXGQoSWkh3dHQw/o.jpg']",,"chicken_wings, , ",0.0
mgy3BZ_qoHGUJYowDAS0AA,Panda Express,True,False,16617231907.0,43,chinese,hotdogs,,2.5,$,"['pickup', 'delivery']",93535,Lancaster,"['44421 20th St E', 'Ste 101', 'Lancaster, CA 93535']",https://www.yelp.com/biz/panda-express-lancaster-3?adjust_creative=QEtda7yEqXLhtpi_kTWYBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QEtda7yEqXLhtpi_kTWYBA,https://s3-media1.fl.yelpcdn.com/bphoto/PrxUg_5SVL3WlZ7tZL-qfw/o.jpg,34.69032,-118.09547,"['https://s3-media1.fl.yelpcdn.com/bphoto/PrxUg_5SVL3WlZ7tZL-qfw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Zbde0XwNWkwIaa-OKd1Bwg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/gCzEsw5jRygdDmPf9nQO2w/o.jpg']",,"chinese, hotdogs, ",0.0
